Material,Weight (kg),Transport Distance (km),Region,Virgin CO₂ (kg),Process CO₂ (kg),Transport CO₂ (kg),Net CO₂ Saved (kg)
Paper,4.65,75,Germany,12.555,2.325,0.042,10.188
Glass,8.49,100,India,13.584,16.98,0.102,0.0
Clothes,4.24,25,USA,33.92,5.088,0.013,28.819
Clothes,3.38,25,India,27.04,6.76,0.01,20.27
Clothes,5.65,25,USA,45.2,6.78,0.017,38.403
Clothes,5.73,50,EU,45.84,6.303,0.034,39.503
E-waste,5.46,10,USA,65.52,6.552,0.007,58.961
Clothes,1.31,10,India,10.48,2.62,0.002,7.858
Plastic,4.39,10,India,26.34,8.78,0.005,17.555
Glass,9.56,5,EU,15.296,10.516,0.006,4.774
Books,9.41,100,India,23.525,18.82,0.113,4.592
Paper,5.44,100,EU,14.688,5.984,0.065,8.639
E-waste,1.23,100,USA,14.76,1.476,0.015,13.269
Glass,7.39,25,EU,11.824,8.129,0.022,3.673
E-waste,7.19,10,USA,86.28,8.628,0.009,77.643
E-waste,3.16,75,India,37.92,6.32,0.028,31.572
Paper,1.99,50,India,5.373,3.98,0.012,1.381
E-waste,6.05,75,India,72.6,12.1,0.054,60.446
E-waste,9.95,50,India,119.4,19.9,0.06,99.44
Clothes,8.81,5,India,70.48,17.62,0.005,52.855
Glass,5.54,5,Germany,8.864,2.77,0.003,6.091
Books,6.83,25,USA,17.075,8.196,0.02,8.859
Books,5.51,25,EU,13.775,6.061,0.017,7.697
E-waste,1.49,50,USA,17.88,1.788,0.009,16.083
Plastic,0.25,25,Germany,1.5,0.125,0.001,1.374
Clothes,4.54,75,EU,36.32,4.994,0.041,31.285
Books,7.04,100,India,17.6,14.08,0.084,3.436
Plastic,4.35,50,India,26.1,8.7,0.026,17.374
Clothes,9.51,25,Germany,76.08,4.755,0.029,71.296
Glass,9.22,75,India,14.752,18.44,0.083,0.0
Clothes,8.73,100,USA,69.84,10.476,0.105,59.259
Paper,7.29,25,Germany,19.683,3.645,0.022,16.016
E-waste,4.74,75,EU,56.88,5.214,0.043,51.623
Plastic,2.64,5,Germany,15.84,1.32,0.002,14.518
E-waste,7.32,75,EU,87.84,8.052,0.066,79.722
Paper,1.84,50,India,4.968,3.68,0.011,1.277
Glass,0.61,75,EU,0.976,0.671,0.005,0.3
Paper,2.79,5,EU,7.533,3.069,0.002,4.462
Plastic,6.58,100,USA,39.48,7.896,0.079,31.505
Paper,8.24,25,USA,22.248,9.888,0.025,12.335
Glass,2.21,50,USA,3.536,2.652,0.013,0.871
Glass,1.58,50,USA,2.528,1.896,0.009,0.623
Clothes,9.19,75,Germany,73.52,4.595,0.083,68.842
Plastic,0.3,100,EU,1.8,0.33,0.004,1.466
Glass,8.14,75,USA,13.024,9.768,0.073,3.183
E-waste,2.31,5,USA,27.72,2.772,0.001,24.947
Books,0.78,75,India,1.95,1.56,0.007,0.383
Glass,2.52,100,Germany,4.032,1.26,0.03,2.742
Plastic,5.54,50,India,33.24,11.08,0.033,22.127
Plastic,3.78,10,India,22.68,7.56,0.005,15.115
E-waste,0.97,5,USA,11.64,1.164,0.001,10.475
E-waste,6.78,10,Germany,81.36,3.39,0.008,77.962
Books,7.83,75,Germany,19.575,3.915,0.07,15.59
Paper,9.63,10,Germany,26.001,4.815,0.012,21.174
Paper,2.52,5,Germany,6.804,1.26,0.002,5.542
Plastic,9.31,10,EU,55.86,10.241,0.011,45.608
Clothes,5.52,100,India,44.16,11.04,0.066,33.054
E-waste,9.4,75,Germany,112.8,4.7,0.085,108.015
Paper,1.59,10,EU,4.293,1.749,0.002,2.542
Paper,7.01,5,EU,18.927,7.711,0.004,11.212
Glass,5.75,75,USA,9.2,6.9,0.052,2.248
Paper,5.02,5,USA,13.554,6.024,0.003,7.527
Books,0.67,75,Germany,1.675,0.335,0.006,1.334
Plastic,3.31,100,EU,19.86,3.641,0.04,16.179
E-waste,4.94,25,Germany,59.28,2.47,0.015,56.795
Glass,1.37,5,India,2.192,2.74,0.001,0.0
Clothes,2.46,75,EU,19.68,2.706,0.022,16.952
E-waste,5.15,100,USA,61.8,6.18,0.062,55.558
Plastic,3.65,100,Germany,21.9,1.825,0.044,20.031
Books,0.36,25,EU,0.9,0.396,0.001,0.503
Glass,7.6,5,USA,12.16,9.12,0.005,3.035
Clothes,8.56,5,Germany,68.48,4.28,0.005,64.195
Paper,0.63,5,USA,1.701,0.756,0.0,0.945
Paper,2.01,5,EU,5.427,2.211,0.001,3.215
Plastic,0.67,5,Germany,4.02,0.335,0.0,3.685
Clothes,9.81,50,India,78.48,19.62,0.059,58.801
Glass,9.15,5,Germany,14.64,4.575,0.005,10.06
Clothes,6.47,10,India,51.76,12.94,0.008,38.812
Plastic,5.64,100,EU,33.84,6.204,0.068,27.568
Glass,7.59,75,India,12.144,15.18,0.068,0.0
Glass,4.6,25,EU,7.36,5.06,0.014,2.286
Paper,2.87,75,USA,7.749,3.444,0.026,4.279
E-waste,9.1,75,USA,109.2,10.92,0.082,98.198
Clothes,5.35,5,Germany,42.8,2.675,0.003,40.122
Plastic,2.39,25,Germany,14.34,1.195,0.007,13.138
Paper,2.42,100,EU,6.534,2.662,0.029,3.843
Glass,7.17,100,USA,11.472,8.604,0.086,2.782
Glass,0.28,5,Germany,0.448,0.14,0.0,0.308
Clothes,3.13,10,Germany,25.04,1.565,0.004,23.471
Books,1.79,25,USA,4.475,2.148,0.005,2.322
Paper,8.33,10,EU,22.491,9.163,0.01,13.318
Books,8.45,25,Germany,21.125,4.225,0.025,16.875
Glass,9.58,75,EU,15.328,10.538,0.086,4.704
Glass,4.11,75,EU,6.576,4.521,0.037,2.018
Plastic,3.05,100,Germany,18.3,1.525,0.037,16.738
Plastic,1.0,100,USA,6.0,1.2,0.012,4.788
Clothes,1.94,100,India,15.52,3.88,0.023,11.617
Books,2.77,75,Germany,6.925,1.385,0.025,5.515
Books,1.05,25,Germany,2.625,0.525,0.003,2.097
Plastic,6.49,100,USA,38.94,7.788,0.078,31.074
Clothes,5.87,75,EU,46.96,6.457,0.053,40.45
Clothes,4.85,5,USA,38.8,5.82,0.003,32.977
Plastic,4.42,5,Germany,26.52,2.21,0.003,24.307
E-waste,4.05,25,India,48.6,8.1,0.012,40.488
Plastic,3.04,100,Germany,18.24,1.52,0.036,16.684
Plastic,8.06,5,EU,48.36,8.866,0.005,39.489
Books,2.22,25,EU,5.55,2.442,0.007,3.101
Paper,2.03,5,EU,5.481,2.233,0.001,3.247
Plastic,7.87,10,USA,47.22,9.444,0.009,37.767
Paper,8.27,25,Germany,22.329,4.135,0.025,18.169
Glass,9.84,5,EU,15.744,10.824,0.006,4.914
Books,8.21,5,USA,20.525,9.852,0.005,10.668
Paper,0.74,25,Germany,1.998,0.37,0.002,1.626
Plastic,4.56,10,USA,27.36,5.472,0.005,21.883
Plastic,1.55,100,EU,9.3,1.705,0.019,7.576
Plastic,4.09,25,India,24.54,8.18,0.012,16.348
Plastic,8.87,100,Germany,53.22,4.435,0.106,48.679
Paper,7.0,100,USA,18.9,8.4,0.084,10.416
Paper,7.93,10,EU,21.411,8.723,0.01,12.678
Clothes,0.76,50,EU,6.08,0.836,0.005,5.239
Glass,2.71,100,USA,4.336,3.252,0.033,1.051
Paper,2.86,25,Germany,7.722,1.43,0.009,6.283
Clothes,7.94,50,Germany,63.52,3.97,0.048,59.502
E-waste,2.55,50,USA,30.6,3.06,0.015,27.525
Books,9.99,10,USA,24.975,11.988,0.012,12.975
Books,7.87,5,India,19.675,15.74,0.005,3.93
E-waste,6.13,100,USA,73.56,7.356,0.074,66.13
Books,7.59,25,India,18.975,15.18,0.023,3.772
E-waste,9.55,10,India,114.6,19.1,0.011,95.489
Plastic,6.22,50,Germany,37.32,3.11,0.037,34.173
Glass,5.25,25,Germany,8.4,2.625,0.016,5.759
Plastic,1.21,100,Germany,7.26,0.605,0.015,6.64
Plastic,0.39,75,USA,2.34,0.468,0.004,1.868
Glass,1.96,25,EU,3.136,2.156,0.006,0.974
Clothes,4.8,50,India,38.4,9.6,0.029,28.771
Plastic,3.64,100,India,21.84,7.28,0.044,14.516
Paper,3.36,10,EU,9.072,3.696,0.004,5.372
E-waste,9.33,75,Germany,111.96,4.665,0.084,107.211
Books,9.39,75,Germany,23.475,4.695,0.085,18.695
Clothes,5.96,25,USA,47.68,7.152,0.018,40.51
Clothes,3.92,10,Germany,31.36,1.96,0.005,29.395
Plastic,7.57,5,USA,45.42,9.084,0.005,36.331
Books,7.34,100,USA,18.35,8.808,0.088,9.454
Glass,9.93,10,EU,15.888,10.923,0.012,4.953
Paper,0.44,100,Germany,1.188,0.22,0.005,0.963
Plastic,0.5,75,India,3.0,1.0,0.004,1.996
E-waste,2.1,75,USA,25.2,2.52,0.019,22.661
E-waste,3.43,100,USA,41.16,4.116,0.041,37.003
Clothes,7.53,5,EU,60.24,8.283,0.005,51.952
Paper,8.8,25,Germany,23.76,4.4,0.026,19.334
Glass,5.68,10,India,9.088,11.36,0.007,0.0
Plastic,4.71,50,USA,28.26,5.652,0.028,22.58
Glass,8.17,25,EU,13.072,8.987,0.025,4.06
Books,3.89,25,USA,9.725,4.668,0.012,5.045
Clothes,4.57,5,Germany,36.56,2.285,0.003,34.272
Books,9.41,100,Germany,23.525,4.705,0.113,18.707
Glass,2.95,50,Germany,4.72,1.475,0.018,3.227
Clothes,3.66,5,EU,29.28,4.026,0.002,25.252
E-waste,1.36,75,Germany,16.32,0.68,0.012,15.628
Clothes,5.78,25,India,46.24,11.56,0.017,34.663
Paper,1.68,5,EU,4.536,1.848,0.001,2.687
Clothes,5.84,100,EU,46.72,6.424,0.07,40.226
Glass,4.46,25,India,7.136,8.92,0.013,0.0
Clothes,2.67,10,USA,21.36,3.204,0.003,18.153
Paper,4.08,10,India,11.016,8.16,0.005,2.851
Clothes,6.09,10,USA,48.72,7.308,0.007,41.405
Paper,4.95,10,USA,13.365,5.94,0.006,7.419
Clothes,7.88,100,EU,63.04,8.668,0.095,54.277
Paper,4.42,10,Germany,11.934,2.21,0.005,9.719
Books,2.71,75,India,6.775,5.42,0.024,1.331
Paper,0.64,50,India,1.728,1.28,0.004,0.444
Paper,3.9,25,EU,10.53,4.29,0.012,6.228
Clothes,0.86,5,EU,6.88,0.946,0.001,5.933
Plastic,1.54,25,EU,9.24,1.694,0.005,7.541
Clothes,8.56,50,EU,68.48,9.416,0.051,59.013
Books,6.87,10,USA,17.175,8.244,0.008,8.923
Glass,3.01,10,India,4.816,6.02,0.004,0.0
Clothes,6.83,50,EU,54.64,7.513,0.041,47.086
Books,6.78,75,USA,16.95,8.136,0.061,8.753
Paper,3.67,75,USA,9.909,4.404,0.033,5.472
Paper,5.77,50,EU,15.579,6.347,0.035,9.197
Glass,0.72,50,USA,1.152,0.864,0.004,0.284
Plastic,8.96,25,EU,53.76,9.856,0.027,43.877
Books,8.54,75,India,21.35,17.08,0.077,4.193
E-waste,0.57,50,USA,6.84,0.684,0.003,6.153
Plastic,9.62,100,Germany,57.72,4.81,0.115,52.795
Books,9.89,100,EU,24.725,10.879,0.119,13.727
Books,1.44,10,Germany,3.6,0.72,0.002,2.878
Plastic,5.98,100,Germany,35.88,2.99,0.072,32.818
Glass,7.94,100,Germany,12.704,3.97,0.095,8.639
E-waste,1.3,50,India,15.6,2.6,0.008,12.992
Plastic,0.61,75,EU,3.66,0.671,0.005,2.984
Plastic,6.36,5,India,38.16,12.72,0.004,25.436
Plastic,9.93,10,USA,59.58,11.916,0.012,47.652
Glass,0.79,5,USA,1.264,0.948,0.0,0.316
Clothes,1.61,75,EU,12.88,1.771,0.014,11.095
Books,0.81,50,USA,2.025,0.972,0.005,1.048
Clothes,1.38,25,Germany,11.04,0.69,0.004,10.346
E-waste,2.36,10,Germany,28.32,1.18,0.003,27.137
Plastic,5.66,75,Germany,33.96,2.83,0.051,31.079
Paper,6.88,100,India,18.576,13.76,0.083,4.733
Books,1.99,10,EU,4.975,2.189,0.002,2.784
Glass,4.98,25,EU,7.968,5.478,0.015,2.475
Books,9.73,50,EU,24.325,10.703,0.058,13.564
Books,0.61,25,USA,1.525,0.732,0.002,0.791
Books,4.96,50,USA,12.4,5.952,0.03,6.418
Paper,6.34,10,EU,17.118,6.974,0.008,10.136
E-waste,2.86,50,India,34.32,5.72,0.017,28.583
Glass,1.33,50,USA,2.128,1.596,0.008,0.524
Plastic,8.38,75,Germany,50.28,4.19,0.075,46.015
E-waste,9.42,75,USA,113.04,11.304,0.085,101.651
Glass,9.95,100,Germany,15.92,4.975,0.119,10.826
Books,5.48,75,USA,13.7,6.576,0.049,7.075
Clothes,4.23,5,Germany,33.84,2.115,0.003,31.722
Paper,1.85,50,India,4.995,3.7,0.011,1.284
Glass,1.78,50,Germany,2.848,0.89,0.011,1.947
E-waste,7.29,100,Germany,87.48,3.645,0.087,83.748
Glass,6.84,100,Germany,10.944,3.42,0.082,7.442
Clothes,0.32,100,USA,2.56,0.384,0.004,2.172
Clothes,4.06,5,EU,32.48,4.466,0.002,28.012
Clothes,7.86,25,India,62.88,15.72,0.024,47.136
Clothes,3.36,50,Germany,26.88,1.68,0.02,25.18
Books,8.6,75,USA,21.5,10.32,0.077,11.103
Clothes,1.91,75,Germany,15.28,0.955,0.017,14.308
Glass,6.77,50,India,10.832,13.54,0.041,0.0
Paper,3.13,50,USA,8.451,3.756,0.019,4.676
Books,4.64,100,USA,11.6,5.568,0.056,5.976
E-waste,9.1,10,Germany,109.2,4.55,0.011,104.639
Books,7.75,10,EU,19.375,8.525,0.009,10.841
Paper,3.04,50,India,8.208,6.08,0.018,2.11
E-waste,8.28,50,USA,99.36,9.936,0.05,89.374
Plastic,9.8,25,India,58.8,19.6,0.029,39.171
Clothes,2.19,25,USA,17.52,2.628,0.007,14.885
Glass,6.29,25,USA,10.064,7.548,0.019,2.497
Paper,3.33,5,Germany,8.991,1.665,0.002,7.324
E-waste,6.34,5,India,76.08,12.68,0.004,63.396
E-waste,3.58,100,EU,42.96,3.938,0.043,38.979
Paper,1.39,5,Germany,3.753,0.695,0.001,3.057
Books,5.54,50,USA,13.85,6.648,0.033,7.169
Glass,2.5,10,USA,4.0,3.0,0.003,0.997
Plastic,6.51,100,USA,39.06,7.812,0.078,31.17
Books,9.16,25,Germany,22.9,4.58,0.027,18.293
Clothes,6.54,50,Germany,52.32,3.27,0.039,49.011
Clothes,6.11,10,EU,48.88,6.721,0.007,42.152
Clothes,2.64,10,Germany,21.12,1.32,0.003,19.797
Paper,4.93,50,India,13.311,9.86,0.03,3.421
Books,1.8,5,Germany,4.5,0.9,0.001,3.599
Paper,6.09,75,EU,16.443,6.699,0.055,9.689
Plastic,0.97,100,USA,5.82,1.164,0.012,4.644
Plastic,6.47,10,EU,38.82,7.117,0.008,31.695
Books,8.6,50,India,21.5,17.2,0.052,4.248
Paper,4.9,5,Germany,13.23,2.45,0.003,10.777
E-waste,2.83,5,Germany,33.96,1.415,0.002,32.543
Glass,0.69,75,USA,1.104,0.828,0.006,0.27
E-waste,9.44,25,Germany,113.28,4.72,0.028,108.532
Clothes,6.79,5,USA,54.32,8.148,0.004,46.168
Clothes,9.28,25,EU,74.24,10.208,0.028,64.004
Books,1.76,10,USA,4.4,2.112,0.002,2.286
E-waste,2.93,5,Germany,35.16,1.465,0.002,33.693
Clothes,9.67,50,India,77.36,19.34,0.058,57.962
Books,7.68,75,Germany,19.2,3.84,0.069,15.291
Books,1.12,100,EU,2.8,1.232,0.013,1.555
Glass,0.47,100,India,0.752,0.94,0.006,0.0
E-waste,9.6,5,EU,115.2,10.56,0.006,104.634
Paper,0.32,50,USA,0.864,0.384,0.002,0.478
Glass,6.22,100,USA,9.952,7.464,0.075,2.413
Plastic,2.66,25,EU,15.96,2.926,0.008,13.026
Plastic,1.97,50,USA,11.82,2.364,0.012,9.444
Books,2.64,100,EU,6.6,2.904,0.032,3.664
Paper,7.16,5,Germany,19.332,3.58,0.004,15.748
Glass,4.11,100,USA,6.576,4.932,0.049,1.595
Glass,7.28,50,EU,11.648,8.008,0.044,3.596
Plastic,1.27,25,EU,7.62,1.397,0.004,6.219
Plastic,0.3,100,USA,1.8,0.36,0.004,1.436
Paper,4.96,50,India,13.392,9.92,0.03,3.442
Books,3.46,25,Germany,8.65,1.73,0.01,6.91
E-waste,1.99,5,EU,23.88,2.189,0.001,21.69
Books,5.04,10,India,12.6,10.08,0.006,2.514
Plastic,3.3,75,India,19.8,6.6,0.03,13.17
Books,7.48,50,USA,18.7,8.976,0.045,9.679
Glass,8.17,10,India,13.072,16.34,0.01,0.0
Paper,9.37,10,India,25.299,18.74,0.011,6.548
Paper,2.49,75,India,6.723,4.98,0.022,1.721
Paper,7.26,10,Germany,19.602,3.63,0.009,15.963
Paper,4.33,10,India,11.691,8.66,0.005,3.026
Clothes,4.63,100,USA,37.04,5.556,0.056,31.428
Books,6.23,5,Germany,15.575,3.115,0.004,12.456
Books,5.57,5,India,13.925,11.14,0.003,2.782
Clothes,1.04,50,USA,8.32,1.248,0.006,7.066
E-waste,6.75,5,USA,81.0,8.1,0.004,72.896
Books,7.56,75,USA,18.9,9.072,0.068,9.76
Paper,1.21,5,USA,3.267,1.452,0.001,1.814
Paper,2.08,5,Germany,5.616,1.04,0.001,4.575
E-waste,2.67,100,USA,32.04,3.204,0.032,28.804
Clothes,4.24,25,India,33.92,8.48,0.013,25.427
Paper,2.57,10,India,6.939,5.14,0.003,1.796
E-waste,8.6,25,EU,103.2,9.46,0.026,93.714
Plastic,9.8,100,EU,58.8,10.78,0.118,47.902
Paper,1.84,25,EU,4.968,2.024,0.006,2.938
Glass,7.95,10,Germany,12.72,3.975,0.01,8.735
Books,5.1,25,USA,12.75,6.12,0.015,6.615
E-waste,9.54,50,USA,114.48,11.448,0.057,102.975
Paper,3.04,50,India,8.208,6.08,0.018,2.11
Clothes,5.5,10,India,44.0,11.0,0.007,32.993
E-waste,8.61,50,USA,103.32,10.332,0.052,92.936
Books,1.63,10,India,4.075,3.26,0.002,0.813
Books,7.65,100,Germany,19.125,3.825,0.092,15.208
E-waste,0.35,5,USA,4.2,0.42,0.0,3.78
Plastic,6.6,50,India,39.6,13.2,0.04,26.36
Plastic,1.06,50,Germany,6.36,0.53,0.006,5.824
Plastic,2.79,50,EU,16.74,3.069,0.017,13.654
Plastic,4.65,25,India,27.9,9.3,0.014,18.586
Paper,0.64,10,USA,1.728,0.768,0.001,0.959
Plastic,6.01,25,USA,36.06,7.212,0.018,28.83
Paper,9.56,100,India,25.812,19.12,0.115,6.577
Glass,7.64,50,EU,12.224,8.404,0.046,3.774
Glass,9.52,5,Germany,15.232,4.76,0.006,10.466
Clothes,5.46,50,USA,43.68,6.552,0.033,37.095
Books,9.3,10,USA,23.25,11.16,0.011,12.079
Plastic,1.18,50,EU,7.08,1.298,0.007,5.775
Glass,3.55,75,USA,5.68,4.26,0.032,1.388
Glass,8.53,25,EU,13.648,9.383,0.026,4.239
Books,0.79,25,India,1.975,1.58,0.002,0.393
Plastic,2.93,50,Germany,17.58,1.465,0.018,16.097
Paper,0.21,50,EU,0.567,0.231,0.001,0.335
Clothes,2.2,50,India,17.6,4.4,0.013,13.187
Glass,6.76,25,USA,10.816,8.112,0.02,2.684
Paper,8.4,100,EU,22.68,9.24,0.101,13.339
E-waste,8.97,100,EU,107.64,9.867,0.108,97.665
Paper,4.89,100,India,13.203,9.78,0.059,3.364
Clothes,1.58,50,EU,12.64,1.738,0.009,10.893
Paper,4.7,100,India,12.69,9.4,0.056,3.234
Glass,4.94,10,Germany,7.904,2.47,0.006,5.428
E-waste,4.26,50,USA,51.12,5.112,0.026,45.982
Plastic,6.73,10,Germany,40.38,3.365,0.008,37.007
Plastic,5.64,5,Germany,33.84,2.82,0.003,31.017
Books,5.18,100,USA,12.95,6.216,0.062,6.672
Clothes,6.25,75,EU,50.0,6.875,0.056,43.069
Paper,9.13,75,EU,24.651,10.043,0.082,14.526
Books,0.4,5,EU,1.0,0.44,0.0,0.56
Clothes,2.22,10,India,17.76,4.44,0.003,13.317
Plastic,5.39,75,India,32.34,10.78,0.049,21.511
Clothes,7.01,50,India,56.08,14.02,0.042,42.018
Clothes,3.04,50,USA,24.32,3.648,0.018,20.654
Clothes,2.26,10,EU,18.08,2.486,0.003,15.591
Plastic,9.48,75,Germany,56.88,4.74,0.085,52.055
Plastic,3.5,5,USA,21.0,4.2,0.002,16.798
Plastic,1.86,75,USA,11.16,2.232,0.017,8.911
Glass,3.21,10,EU,5.136,3.531,0.004,1.601
Paper,1.66,100,USA,4.482,1.992,0.02,2.47
Books,5.77,50,India,14.425,11.54,0.035,2.85
Paper,6.08,25,EU,16.416,6.688,0.018,9.71
Books,5.68,10,USA,14.2,6.816,0.007,7.377
E-waste,7.34,5,USA,88.08,8.808,0.004,79.268
Paper,7.86,25,Germany,21.222,3.93,0.024,17.268
Glass,4.3,10,Germany,6.88,2.15,0.005,4.725
E-waste,8.4,5,India,100.8,16.8,0.005,83.995
Glass,6.22,75,Germany,9.952,3.11,0.056,6.786
Glass,0.25,25,USA,0.4,0.3,0.001,0.099
E-waste,5.62,25,Germany,67.44,2.81,0.017,64.613
E-waste,7.1,75,Germany,85.2,3.55,0.064,81.586
E-waste,1.83,75,Germany,21.96,0.915,0.016,21.029
Clothes,8.01,100,Germany,64.08,4.005,0.096,59.979
Clothes,4.37,75,EU,34.96,4.807,0.039,30.114
Books,6.54,5,EU,16.35,7.194,0.004,9.152
Books,4.68,25,USA,11.7,5.616,0.014,6.07
Glass,4.02,10,EU,6.432,4.422,0.005,2.005
Clothes,5.2,25,Germany,41.6,2.6,0.016,38.984
Paper,6.2,75,Germany,16.74,3.1,0.056,13.584
Books,9.33,5,India,23.325,18.66,0.006,4.659
Paper,2.07,25,Germany,5.589,1.035,0.006,4.548
Glass,3.31,25,Germany,5.296,1.655,0.01,3.631
Clothes,7.11,5,USA,56.88,8.532,0.004,48.344
Paper,4.36,50,Germany,11.772,2.18,0.026,9.566
E-waste,7.72,50,India,92.64,15.44,0.046,77.154
Glass,4.09,50,Germany,6.544,2.045,0.025,4.474
Glass,4.68,50,India,7.488,9.36,0.028,0.0
Paper,9.71,50,EU,26.217,10.681,0.058,15.478
Clothes,3.72,75,EU,29.76,4.092,0.033,25.635
Plastic,4.16,10,EU,24.96,4.576,0.005,20.379
E-waste,8.8,10,India,105.6,17.6,0.011,87.989
Clothes,1.89,75,EU,15.12,2.079,0.017,13.024
Paper,0.29,5,India,0.783,0.58,0.0,0.203
Paper,3.47,75,India,9.369,6.94,0.031,2.398
E-waste,9.61,10,USA,115.32,11.532,0.012,103.776
Plastic,9.39,5,India,56.34,18.78,0.006,37.554
Books,0.49,100,India,1.225,0.98,0.006,0.239
Books,3.55,100,EU,8.875,3.905,0.043,4.927
Clothes,9.03,50,USA,72.24,10.836,0.054,61.35
E-waste,3.1,100,Germany,37.2,1.55,0.037,35.613
Glass,2.16,25,India,3.456,4.32,0.006,0.0
Books,4.02,75,EU,10.05,4.422,0.036,5.592
Glass,5.68,75,EU,9.088,6.248,0.051,2.789
Paper,4.53,10,EU,12.231,4.983,0.005,7.243
Books,9.71,25,Germany,24.275,4.855,0.029,19.391
Clothes,5.98,25,India,47.84,11.96,0.018,35.862
Plastic,3.26,50,India,19.56,6.52,0.02,13.02
Clothes,6.47,10,EU,51.76,7.117,0.008,44.635
Glass,8.48,75,Germany,13.568,4.24,0.076,9.252
E-waste,0.39,100,USA,4.68,0.468,0.005,4.207
Plastic,4.92,50,EU,29.52,5.412,0.03,24.078
Books,4.34,10,USA,10.85,5.208,0.005,5.637
Paper,4.86,10,EU,13.122,5.346,0.006,7.77
Paper,9.15,5,India,24.705,18.3,0.005,6.4
E-waste,4.01,50,EU,48.12,4.411,0.024,43.685
Paper,1.81,5,India,4.887,3.62,0.001,1.266
Paper,7.56,5,India,20.412,15.12,0.005,5.287
E-waste,6.86,100,USA,82.32,8.232,0.082,74.006
Books,5.56,75,Germany,13.9,2.78,0.05,11.07
E-waste,3.23,50,Germany,38.76,1.615,0.019,37.126
Books,5.62,100,Germany,14.05,2.81,0.067,11.173
Paper,7.93,10,Germany,21.411,3.965,0.01,17.436
Clothes,1.3,100,EU,10.4,1.43,0.016,8.954
Glass,6.39,25,USA,10.224,7.668,0.019,2.537
Paper,6.88,50,Germany,18.576,3.44,0.041,15.095
E-waste,1.64,50,EU,19.68,1.804,0.01,17.866
E-waste,2.96,75,EU,35.52,3.256,0.027,32.237
E-waste,4.28,100,Germany,51.36,2.14,0.051,49.169
Glass,9.58,10,EU,15.328,10.538,0.011,4.779
Books,9.61,10,USA,24.025,11.532,0.012,12.481
E-waste,9.17,75,India,110.04,18.34,0.083,91.617
E-waste,4.67,10,Germany,56.04,2.335,0.006,53.699
Paper,9.81,5,USA,26.487,11.772,0.006,14.709
Glass,1.64,75,Germany,2.624,0.82,0.015,1.789
E-waste,0.35,25,USA,4.2,0.42,0.001,3.779
Clothes,4.06,50,USA,32.48,4.872,0.024,27.584
Books,6.15,25,USA,15.375,7.38,0.018,7.977
Clothes,2.28,100,USA,18.24,2.736,0.027,15.477
Plastic,1.16,75,EU,6.96,1.276,0.01,5.674
Books,2.51,100,USA,6.275,3.012,0.03,3.233
Clothes,5.98,5,EU,47.84,6.578,0.004,41.258
Books,5.7,100,India,14.25,11.4,0.068,2.782
E-waste,6.66,100,Germany,79.92,3.33,0.08,76.51
Books,7.11,25,EU,17.775,7.821,0.021,9.933
Glass,6.31,10,EU,10.096,6.941,0.008,3.147
Glass,7.58,75,USA,12.128,9.096,0.068,2.964
E-waste,1.94,5,Germany,23.28,0.97,0.001,22.309
Paper,7.82,50,India,21.114,15.64,0.047,5.427
Clothes,5.62,25,USA,44.96,6.744,0.017,38.199
Clothes,7.04,5,India,56.32,14.08,0.004,42.236
E-waste,7.8,5,EU,93.6,8.58,0.005,85.015
Books,9.1,75,USA,22.75,10.92,0.082,11.748
Clothes,1.25,10,USA,10.0,1.5,0.002,8.498
Paper,9.22,25,Germany,24.894,4.61,0.028,20.256
Clothes,3.06,100,USA,24.48,3.672,0.037,20.771
E-waste,4.83,25,EU,57.96,5.313,0.014,52.633
Plastic,3.95,5,USA,23.7,4.74,0.002,18.958
Plastic,0.59,25,USA,3.54,0.708,0.002,2.83
Glass,4.95,10,USA,7.92,5.94,0.006,1.974
Paper,9.52,75,USA,25.704,11.424,0.086,14.194
E-waste,2.62,10,USA,31.44,3.144,0.003,28.293
Books,0.24,100,Germany,0.6,0.12,0.003,0.477
Paper,2.27,100,India,6.129,4.54,0.027,1.562
Clothes,4.4,50,Germany,35.2,2.2,0.026,32.974
Books,2.78,10,Germany,6.95,1.39,0.003,5.557
Glass,7.57,5,India,12.112,15.14,0.005,0.0
Books,9.94,10,EU,24.85,10.934,0.012,13.904
Paper,5.61,10,India,15.147,11.22,0.007,3.92
Clothes,1.69,5,EU,13.52,1.859,0.001,11.66
Books,7.01,25,EU,17.525,7.711,0.021,9.793
Clothes,3.01,75,Germany,24.08,1.505,0.027,22.548
Clothes,8.81,5,Germany,70.48,4.405,0.005,66.07
Paper,9.54,50,USA,25.758,11.448,0.057,14.253
Books,0.22,10,Germany,0.55,0.11,0.0,0.44
Books,2.97,100,Germany,7.425,1.485,0.036,5.904
E-waste,2.23,75,Germany,26.76,1.115,0.02,25.625
Books,3.0,25,EU,7.5,3.3,0.009,4.191
Glass,5.36,5,India,8.576,10.72,0.003,0.0
Plastic,7.75,10,Germany,46.5,3.875,0.009,42.616
E-waste,7.35,10,India,88.2,14.7,0.009,73.491
Clothes,4.05,50,USA,32.4,4.86,0.024,27.516
Books,8.31,50,USA,20.775,9.972,0.05,10.753
Glass,1.25,100,Germany,2.0,0.625,0.015,1.36
Books,9.21,25,India,23.025,18.42,0.028,4.577
